Name	Args	"Return Type"
atan	"double precision"	"double precision"
atan2	"double precision, double precision"	"double precision"
atan2d	"double precision, double precision"	"double precision"
atand	"double precision"	"double precision"
avg	bigint	numeric
avg	"double precision"	"double precision"
avg	integer	numeric
avg	interval	interval
avg	numeric	numeric
avg	real	"double precision"
avg	smallint	numeric
bernoulli	internal	tsm_handler
big5_to_euc_tw	"integer, integer, cstring, internal, integer"	void
big5_to_mic	"integer, integer, cstring, internal, integer"	void
big5_to_utf8	"integer, integer, cstring, internal, integer"	void
binary_upgrade_create_empty_extension	"text, text, boolean, text, oid[], text[], text[]"	void
binary_upgrade_set_next_array_pg_type_oid	oid	void
binary_upgrade_set_next_heap_pg_class_oid	oid	void
binary_upgrade_set_next_index_pg_class_oid	oid	void
binary_upgrade_set_next_pg_authid_oid	oid	void
binary_upgrade_set_next_pg_enum_oid	oid	void
binary_upgrade_set_next_pg_type_oid	oid	void
binary_upgrade_set_next_toast_pg_class_oid	oid	void
binary_upgrade_set_next_toast_pg_type_oid	oid	void
binary_upgrade_set_record_init_privs	boolean	void
bit	"bigint, integer"	bit
bit	"bit, integer, boolean"	bit
bit	"integer, integer"	bit
bit_and	bigint	bigint
bit_and	bit	bit
bit_and	integer	integer
bit_and	smallint	smallint
bit_in	"cstring, oid, integer"	bit
bit_length	bit	integer
bit_length	bytea	integer
bit_length	text	integer
bit_or	bigint	bigint
bit_or	bit	bit
bit_or	integer	integer
bit_or	smallint	smallint
bit_out	bit	cstring
bit_recv	"internal, oid, integer"	bit
bit_send	bit	bytea
bitand	"bit, bit"	bit
bitcat	"bit varying, bit varying"	"bit varying"
bitcmp	"bit, bit"	integer
biteq	"bit, bit"	boolean
bitge	"bit, bit"	boolean
bitgt	"bit, bit"	boolean
bitle	"bit, bit"	boolean
bitlt	"bit, bit"	boolean
bitne	"bit, bit"	boolean
bitnot	bit	bit
bitor	"bit, bit"	bit
bitshiftleft	"bit, integer"	bit
bitshiftright	"bit, integer"	bit
bittypmodin	cstring[]	integer
bittypmodout	integer	cstring
bitxor	"bit, bit"	bit
bool	integer	boolean
bool_accum	"internal, boolean"	internal
bool_accum_inv	"internal, boolean"	internal
bool_alltrue	internal	boolean
bool_and	boolean	boolean
bool_anytrue	internal	boolean
bool_or	boolean	boolean
booland_statefunc	"boolean, boolean"	boolean
booleq	"boolean, boolean"	boolean
boolge	"boolean, boolean"	boolean
boolgt	"boolean, boolean"	boolean
boolin	cstring	boolean
boolle	"boolean, boolean"	boolean
boollt	"boolean, boolean"	boolean
boolne	"boolean, boolean"	boolean
boolor_statefunc	"boolean, boolean"	boolean
boolout	boolean	cstring
boolrecv	internal	boolean
boolsend	boolean	bytea
bound_box	"box, box"	box
box	circle	box
box	point	box
box	"point, point"	box
box	polygon	box
box_above	"box, box"	boolean
box_above_eq	"box, box"	boolean
box_add	"box, point"	box
box_below	"box, box"	boolean
box_below_eq	"box, box"	boolean
box_center	box	point
box_contain	"box, box"	boolean
box_contain_pt	"box, point"	boolean
box_contained	"box, box"	boolean
box_distance	"box, box"	"double precision"
box_div	"box, point"	box
box_eq	"box, box"	boolean
box_ge	"box, box"	boolean
box_gt	"box, box"	boolean
box_in	cstring	box
box_intersect	"box, box"	box
box_le	"box, box"	boolean
box_left	"box, box"	boolean
box_lt	"box, box"	boolean
box_mul	"box, point"	box
box_out	box	cstring
box_overabove	"box, box"	boolean
box_overbelow	"box, box"	boolean
box_overlap	"box, box"	boolean
box_overleft	"box, box"	boolean
box_overright	"box, box"	boolean
box_recv	internal	box
box_right	"box, box"	boolean
box_same	"box, box"	boolean
box_send	box	bytea
box_sub	"box, point"	box
bpchar	"""char"""	character
bpchar	"character, integer, boolean"	character
bpchar	name	character
bpchar_larger	"character, character"	character
bpchar_pattern_ge	"character, character"	boolean
bpchar_pattern_gt	"character, character"	boolean
bpchar_pattern_le	"character, character"	boolean
bpchar_pattern_lt	"character, character"	boolean
bpchar_smaller	"character, character"	character
bpchar_sortsupport	internal	void
bpcharcmp	"character, character"	integer
bpchareq	"character, character"	boolean
bpcharge	"character, character"	boolean
bpchargt	"character, character"	boolean
bpchariclike	"character, text"	boolean
bpcharicnlike	"character, text"	boolean
bpcharicregexeq	"character, text"	boolean
bpcharicregexne	"character, text"	boolean
bpcharin	"cstring, oid, integer"	character
bpcharle	"character, character"	boolean
bpcharlike	"character, text"	boolean
bpcharlt	"character, character"	boolean
bpcharne	"character, character"	boolean
bpcharnlike	"character, text"	boolean
bpcharout	character	cstring
bpcharrecv	"internal, oid, integer"	character
bpcharregexeq	"character, text"	boolean
bpcharregexne	"character, text"	boolean
bpcharsend	character	bytea
bpchartypmodin	cstring[]	integer
bpchartypmodout	integer	cstring
brin_desummarize_range	"regclass, bigint"	void
brin_inclusion_add_value	"internal, internal, internal, internal"	boolean
brin_inclusion_consistent	"internal, internal, internal"	boolean
brin_inclusion_opcinfo	internal	internal
brin_inclusion_union	"internal, internal, internal"	boolean
brin_minmax_add_value	"internal, internal, internal, internal"	boolean
brin_minmax_consistent	"internal, internal, internal"	boolean
brin_minmax_opcinfo	internal	internal
brin_minmax_union	"internal, internal, internal"	boolean
brin_summarize_new_values	regclass	integer
brin_summarize_range	"regclass, bigint"	integer
brinhandler	internal	index_am_handler
broadcast	inet	inet
btabstimecmp	"abstime, abstime"	integer
btarraycmp	"anyarray, anyarray"	integer
btboolcmp	"boolean, boolean"	integer
btbpchar_pattern_cmp	"character, character"	integer
btbpchar_pattern_sortsupport	internal	void
btcharcmp	"""char"", ""char"""	integer
btfloat48cmp	"real, double precision"	integer
btfloat4cmp	"real, real"	integer
btfloat4sortsupport	internal	void
btfloat84cmp	"double precision, real"	integer
btfloat8cmp	"double precision, double precision"	integer
btfloat8sortsupport	internal	void
bthandler	internal	index_am_handler
btint24cmp	"smallint, integer"	integer
btint28cmp	"smallint, bigint"	integer
btint2cmp	"smallint, smallint"	integer
btint2sortsupport	internal	void
btint42cmp	"integer, smallint"	integer
btint48cmp	"integer, bigint"	integer
btint4cmp	"integer, integer"	integer
btint4sortsupport	internal	void
btint82cmp	"bigint, smallint"	integer
btint84cmp	"bigint, integer"	integer
btint8cmp	"bigint, bigint"	integer
btint8sortsupport	internal	void
btnamecmp	"name, name"	integer
btnamesortsupport	internal	void
btoidcmp	"oid, oid"	integer
btoidsortsupport	internal	void
btoidvectorcmp	"oidvector, oidvector"	integer
btrecordcmp	"record, record"	integer
btrecordimagecmp	"record, record"	integer
btreltimecmp	"reltime, reltime"	integer
btrim	"bytea, bytea"	bytea
btrim	text	text
btrim	"text, text"	text
bttext_pattern_cmp	"text, text"	integer
bttext_pattern_sortsupport	internal	void
bttextcmp	"text, text"	integer
bttextsortsupport	internal	void
bttidcmp	"tid, tid"	integer
bttintervalcmp	"tinterval, tinterval"	integer
bytea_sortsupport	internal	void
bytea_string_agg_finalfn	internal	bytea
bytea_string_agg_transfn	"internal, bytea, bytea"	internal
byteacat	"bytea, bytea"	bytea
byteacmp	"bytea, bytea"	integer
byteaeq	"bytea, bytea"	boolean
byteage	"bytea, bytea"	boolean
byteagt	"bytea, bytea"	boolean
byteain	cstring	bytea
byteale	"bytea, bytea"	boolean
bytealike	"bytea, bytea"	boolean
bytealt	"bytea, bytea"	boolean
byteane	"bytea, bytea"	boolean
byteanlike	"bytea, bytea"	boolean
byteaout	bytea	cstring
bytearecv	internal	bytea
byteasend	bytea	bytea
cardinality	anyarray	integer
cash_cmp	"money, money"	integer
cash_div_cash	"money, money"	"double precision"
cash_div_flt4	"money, real"	money
cash_div_flt8	"money, double precision"	money
cash_div_int2	"money, smallint"	money
cash_div_int4	"money, integer"	money
cash_div_int8	"money, bigint"	money
cash_eq	"money, money"	boolean
cash_ge	"money, money"	boolean
cash_gt	"money, money"	boolean
cash_in	cstring	money
cash_le	"money, money"	boolean
cash_lt	"money, money"	boolean
cash_mi	"money, money"	money
cash_mul_flt4	"money, real"	money
cash_mul_flt8	"money, double precision"	money
cash_mul_int2	"money, smallint"	money
cash_mul_int4	"money, integer"	money
cash_mul_int8	"money, bigint"	money
cash_ne	"money, money"	boolean
cash_out	money	cstring
cash_pl	"money, money"	money
cash_recv	internal	money
cash_send	money	bytea
cash_words	money	text
cashlarger	"money, money"	money
cashsmaller	"money, money"	money
cbrt	"double precision"	"double precision"
ceil	"double precision"	"double precision"
ceil	numeric	numeric
ceiling	"double precision"	"double precision"
ceiling	numeric	numeric
center	box	point
center	circle	point
char	integer	"""char"""
char	text	"""char"""
char_length	character	integer
char_length	text	integer
character_length	character	integer
character_length	text	integer
chareq	"""char"", ""char"""	boolean
charge	"""char"", ""char"""	boolean
chargt	"""char"", ""char"""	boolean
charin	cstring	"""char"""
charle	"""char"", ""char"""	boolean
charlt	"""char"", ""char"""	boolean
charne	"""char"", ""char"""	boolean
charout	"""char"""	cstring
charrecv	internal	"""char"""
charsend	"""char"""	bytea
chr	integer	text
cideq	"cid, cid"	boolean
cidin	cstring	cid
cidout	cid	cstring
cidr	inet	cidr
cidr_in	cstring	cidr
cidr_out	cidr	cstring
cidr_recv	internal	cidr
cidr_send	cidr	bytea
cidrecv	internal	cid
cidsend	cid	bytea
circle	box	circle
circle	"point, double precision"	circle
circle	polygon	circle
circle_above	"circle, circle"	boolean
circle_add_pt	"circle, point"	circle
circle_below	"circle, circle"	boolean
circle_center	circle	point
circle_contain	"circle, circle"	boolean
circle_contain_pt	"circle, point"	boolean
circle_contained	"circle, circle"	boolean
circle_distance	"circle, circle"	"double precision"
circle_div_pt	"circle, point"	circle
circle_eq	"circle, circle"	boolean
circle_ge	"circle, circle"	boolean
circle_gt	"circle, circle"	boolean
circle_in	cstring	circle
circle_le	"circle, circle"	boolean
circle_left	"circle, circle"	boolean
circle_lt	"circle, circle"	boolean
circle_mul_pt	"circle, point"	circle
circle_ne	"circle, circle"	boolean
circle_out	circle	cstring
circle_overabove	"circle, circle"	boolean
circle_overbelow	"circle, circle"	boolean
circle_overlap	"circle, circle"	boolean
circle_overleft	"circle, circle"	boolean
circle_overright	"circle, circle"	boolean
circle_recv	internal	circle
circle_right	"circle, circle"	boolean
circle_same	"circle, circle"	boolean
circle_send	circle	bytea
circle_sub_pt	"circle, point"	circle
clock_timestamp		"timestamp with time zone"
close_lb	"line, box"	point
close_ls	"line, lseg"	point
close_lseg	"lseg, lseg"	point
close_pb	"point, box"	point
close_pl	"point, line"	point
close_ps	"point, lseg"	point
close_sb	"lseg, box"	point
close_sl	"lseg, line"	point
col_description	"oid, integer"	text
concat	"VARIADIC ""any"""	text
concat_ws	"text, VARIADIC ""any"""	text
contjoinsel	"internal, oid, internal, smallint, internal"	"double precision"
contsel	"internal, oid, internal, integer"	"double precision"
convert	"bytea, name, name"	bytea
convert_from	"bytea, name"	text
convert_to	"text, name"	bytea
corr	"double precision, double precision"	"double precision"
cos	"double precision"	"double precision"
cosd	"double precision"	"double precision"
cot	"double precision"	"double precision"
cotd	"double precision"	"double precision"
count		bigint
count	"""any"""	bigint
covar_pop	"double precision, double precision"	"double precision"
covar_samp	"double precision, double precision"	"double precision"
cstring_in	cstring	cstring
cstring_out	cstring	cstring
cstring_recv	internal	cstring
cstring_send	cstring	bytea
cume_dist		"double precision"
cume_dist	"VARIADIC ""any"" ORDER BY VARIADIC ""any"""	"double precision"
cume_dist_final	"internal, VARIADIC ""any"""	"double precision"
current_database		name
current_query		text
current_schema		name
current_schemas	boolean	name[]
current_setting	text	text
current_setting	"text, boolean"	text
current_user		name
currtid	"oid, tid"	tid
currtid2	"text, tid"	tid
currval	regclass	bigint
cursor_to_xml	"cursor refcursor, count integer, nulls boolean, tableforest boolean, targetns text"	xml
cursor_to_xmlschema	"cursor refcursor, nulls boolean, tableforest boolean, targetns text"	xml
database_to_xml	"nulls boolean, tableforest boolean, targetns text"	xml
database_to_xml_and_xmlschema	"nulls boolean, tableforest boolean, targetns text"	xml
database_to_xmlschema	"nulls boolean, tableforest boolean, targetns text"	xml
date	abstime	date
date	"timestamp with time zone"	date
date	"timestamp without time zone"	date
date_cmp	"date, date"	integer
date_cmp_timestamp	"date, timestamp without time zone"	integer
date_cmp_timestamptz	"date, timestamp with time zone"	integer
date_eq	"date, date"	boolean
date_eq_timestamp	"date, timestamp without time zone"	boolean
date_eq_timestamptz	"date, timestamp with time zone"	boolean
date_ge	"date, date"	boolean
date_ge_timestamp	"date, timestamp without time zone"	boolean
date_ge_timestamptz	"date, timestamp with time zone"	boolean
date_gt	"date, date"	boolean
date_gt_timestamp	"date, timestamp without time zone"	boolean
date_gt_timestamptz	"date, timestamp with time zone"	boolean
date_in	cstring	date
date_larger	"date, date"	date
date_le	"date, date"	boolean
date_le_timestamp	"date, timestamp without time zone"	boolean
date_le_timestamptz	"date, timestamp with time zone"	boolean
date_lt	"date, date"	boolean
date_lt_timestamp	"date, timestamp without time zone"	boolean
date_lt_timestamptz	"date, timestamp with time zone"	boolean
date_mi	"date, date"	integer
date_mi_interval	"date, interval"	"timestamp without time zone"
date_mii	"date, integer"	date
date_ne	"date, date"	boolean
date_ne_timestamp	"date, timestamp without time zone"	boolean
date_ne_timestamptz	"date, timestamp with time zone"	boolean
date_out	date	cstring
date_part	"text, abstime"	"double precision"
date_part	"text, date"	"double precision"
date_part	"text, interval"	"double precision"
date_part	"text, reltime"	"double precision"
date_part	"text, time with time zone"	"double precision"
date_part	"text, time without time zone"	"double precision"
date_part	"text, timestamp with time zone"	"double precision"
date_part	"text, timestamp without time zone"	"double precision"
date_pl_interval	"date, interval"	"timestamp without time zone"
date_pli	"date, integer"	date
date_recv	internal	date
date_send	date	bytea
date_smaller	"date, date"	date
date_sortsupport	internal	void
date_trunc	"text, interval"	interval
date_trunc	"text, timestamp with time zone"	"timestamp with time zone"
date_trunc	"text, timestamp without time zone"	"timestamp without time zone"
daterange	"date, date"	daterange
daterange	"date, date, text"	daterange
daterange_canonical	daterange	daterange
daterange_subdiff	"date, date"	"double precision"
datetime_pl	"date, time without time zone"	"timestamp without time zone"
datetimetz_pl	"date, time with time zone"	"timestamp with time zone"
dcbrt	"double precision"	"double precision"
decode	"text, text"	bytea
degrees	"double precision"	"double precision"
dense_rank		bigint
dense_rank	"VARIADIC ""any"" ORDER BY VARIADIC ""any"""	bigint
dense_rank_final	"internal, VARIADIC ""any"""	bigint
dexp	"double precision"	"double precision"
diagonal	box	lseg
diameter	circle	"double precision"
dispell_init	internal	internal
dispell_lexize	"internal, internal, internal, internal"	internal
dist_cpoint	"circle, point"	"double precision"
dist_cpoly	"circle, polygon"	"double precision"
dist_lb	"line, box"	"double precision"
dist_pb	"point, box"	"double precision"
dist_pc	"point, circle"	"double precision"
dist_pl	"point, line"	"double precision"
dist_polyp	"polygon, point"	"double precision"
dist_ppath	"point, path"	"double precision"
dist_ppoly	"point, polygon"	"double precision"
dist_ps	"point, lseg"	"double precision"
dist_sb	"lseg, box"	"double precision"
dist_sl	"lseg, line"	"double precision"
div	"numeric, numeric"	numeric
dlog1	"double precision"	"double precision"
dlog10	"double precision"	"double precision"
domain_in	"cstring, oid, integer"	"""any"""
domain_recv	"internal, oid, integer"	"""any"""
dpow	"double precision, double precision"	"double precision"
dround	"double precision"	"double precision"
dsimple_init	internal	internal
dsimple_lexize	"internal, internal, internal, internal"	internal
dsnowball_init	internal	internal
dsnowball_lexize	"internal, internal, internal, internal"	internal
dsqrt	"double precision"	"double precision"
dsynonym_init	internal	internal
dsynonym_lexize	"internal, internal, internal, internal"	internal
dtrunc	"double precision"	"double precision"
elem_contained_by_range	"anyelement, anyrange"	boolean
encode	"bytea, text"	text
enum_cmp	"anyenum, anyenum"	integer
enum_eq	"anyenum, anyenum"	boolean
enum_first	anyenum	anyenum
enum_ge	"anyenum, anyenum"	boolean
enum_gt	"anyenum, anyenum"	boolean
enum_in	"cstring, oid"	anyenum
enum_larger	"anyenum, anyenum"	anyenum
enum_last	anyenum	anyenum
enum_le	"anyenum, anyenum"	boolean
enum_lt	"anyenum, anyenum"	boolean
enum_ne	"anyenum, anyenum"	boolean
enum_out	anyenum	cstring
enum_range	anyenum	anyarray
enum_range	"anyenum, anyenum"	anyarray
enum_recv	"internal, oid"	anyenum
enum_send	anyenum	bytea
enum_smaller	"anyenum, anyenum"	anyenum
eqjoinsel	"internal, oid, internal, smallint, internal"	"double precision"
eqsel	"internal, oid, internal, integer"	"double precision"
euc_cn_to_mic	"integer, integer, cstring, internal, integer"	void
euc_cn_to_utf8	"integer, integer, cstring, internal, integer"	void
euc_jis_2004_to_shift_jis_2004	"integer, integer, cstring, internal, integer"	void
euc_jis_2004_to_utf8	"integer, integer, cstring, internal, integer"	void
euc_jp_to_mic	"integer, integer, cstring, internal, integer"	void
euc_jp_to_sjis	"integer, integer, cstring, internal, integer"	void
euc_jp_to_utf8	"integer, integer, cstring, internal, integer"	void
euc_kr_to_mic	"integer, integer, cstring, internal, integer"	void
euc_kr_to_utf8	"integer, integer, cstring, internal, integer"	void
euc_tw_to_big5	"integer, integer, cstring, internal, integer"	void
euc_tw_to_mic	"integer, integer, cstring, internal, integer"	void
euc_tw_to_utf8	"integer, integer, cstring, internal, integer"	void
event_trigger_in	cstring	event_trigger
event_trigger_out	event_trigger	cstring
every	boolean	boolean
exp	"double precision"	"double precision"
exp	numeric	numeric
factorial	bigint	numeric
family	inet	integer
fdw_handler_in	cstring	fdw_handler
fdw_handler_out	fdw_handler	cstring
first_value	anyelement	anyelement
float4	bigint	real
float4	"double precision"	real
float4	integer	real
float4	numeric	real
float4	smallint	real
float48div	"real, double precision"	"double precision"
float48eq	"real, double precision"	boolean
float48ge	"real, double precision"	boolean
float48gt	"real, double precision"	boolean
float48le	"real, double precision"	boolean
float48lt	"real, double precision"	boolean
float48mi	"real, double precision"	"double precision"
float48mul	"real, double precision"	"double precision"
float48ne	"real, double precision"	boolean
float48pl	"real, double precision"	"double precision"
float4_accum	"double precision[], real"	"double precision[]"
float4abs	real	real
float4div	"real, real"	real
float4eq	"real, real"	boolean
float4ge	"real, real"	boolean
float4gt	"real, real"	boolean
float4in	cstring	real
float4larger	"real, real"	real
float4le	"real, real"	boolean
float4lt	"real, real"	boolean
float4mi	"real, real"	real
float4mul	"real, real"	real
float4ne	"real, real"	boolean
float4out	real	cstring
float4pl	"real, real"	real
float4recv	internal	real
float4send	real	bytea
float4smaller	"real, real"	real
float4um	real	real
float4up	real	real
float8	bigint	"double precision"
float8	integer	"double precision"
float8	numeric	"double precision"
float8	real	"double precision"
float8	smallint	"double precision"
float84div	"double precision, real"	"double precision"
float84eq	"double precision, real"	boolean
float84ge	"double precision, real"	boolean
float84gt	"double precision, real"	boolean
float84le	"double precision, real"	boolean
float84lt	"double precision, real"	boolean
float84mi	"double precision, real"	"double precision"
float84mul	"double precision, real"	"double precision"
float84ne	"double precision, real"	boolean
float84pl	"double precision, real"	"double precision"
float8_accum	"double precision[], double precision"	"double precision[]"
float8_avg	"double precision[]"	"double precision"
float8_combine	"double precision[], double precision[]"	"double precision[]"
float8_corr	"double precision[]"	"double precision"
float8_covar_pop	"double precision[]"	"double precision"
float8_covar_samp	"double precision[]"	"double precision"
float8_regr_accum	"double precision[], double precision, double precision"	"double precision[]"
float8_regr_avgx	"double precision[]"	"double precision"
float8_regr_avgy	"double precision[]"	"double precision"
float8_regr_combine	"double precision[], double precision[]"	"double precision[]"
float8_regr_intercept	"double precision[]"	"double precision"
float8_regr_r2	"double precision[]"	"double precision"
float8_regr_slope	"double precision[]"	"double precision"
float8_regr_sxx	"double precision[]"	"double precision"
float8_regr_sxy	"double precision[]"	"double precision"
float8_regr_syy	"double precision[]"	"double precision"
float8_stddev_pop	"double precision[]"	"double precision"
float8_stddev_samp	"double precision[]"	"double precision"
float8_var_pop	"double precision[]"	"double precision"
float8_var_samp	"double precision[]"	"double precision"
float8abs	"double precision"	"double precision"
float8div	"double precision, double precision"	"double precision"
float8eq	"double precision, double precision"	boolean
float8ge	"double precision, double precision"	boolean
float8gt	"double precision, double precision"	boolean
float8in	cstring	"double precision"
float8larger	"double precision, double precision"	"double precision"
float8le	"double precision, double precision"	boolean
float8lt	"double precision, double precision"	boolean
float8mi	"double precision, double precision"	"double precision"
float8mul	"double precision, double precision"	"double precision"
float8ne	"double precision, double precision"	boolean
float8out	"double precision"	cstring
float8pl	"double precision, double precision"	"double precision"
float8recv	internal	"double precision"
float8send	"double precision"	bytea
float8smaller	"double precision, double precision"	"double precision"
float8um	"double precision"	"double precision"
float8up	"double precision"	"double precision"
floor	"double precision"	"double precision"
floor	numeric	numeric
flt4_mul_cash	"real, money"	money
flt8_mul_cash	"double precision, money"	money
fmgr_c_validator	oid	void
fmgr_internal_validator	oid	void
fmgr_sql_validator	oid	void
format	text	text
format	"text, VARIADIC ""any"""	text
format_type	"oid, integer"	text
gb18030_to_utf8	"integer, integer, cstring, internal, integer"	void
gbk_to_utf8	"integer, integer, cstring, internal, integer"	void
generate_series	"bigint, bigint"	"SETOF bigint"
generate_series	"bigint, bigint, bigint"	"SETOF bigint"
generate_series	"integer, integer"	"SETOF integer"
generate_series	"integer, integer, integer"	"SETOF integer"
generate_series	"numeric, numeric"	"SETOF numeric"
generate_series	"numeric, numeric, numeric"	"SETOF numeric"
generate_series	"timestamp with time zone, timestamp with time zone, interval"	"SETOF timestamp with time zone"
generate_series	"timestamp without time zone, timestamp without time zone, interval"	"SETOF timestamp without time zone"
generate_subscripts	"anyarray, integer"	"SETOF integer"
generate_subscripts	"anyarray, integer, boolean"	"SETOF integer"
get_bit	"bit, integer"	integer
get_bit	"bytea, integer"	integer
get_byte	"bytea, integer"	integer
get_current_ts_config		regconfig
getdatabaseencoding		name
getpgusername		name
gin_clean_pending_list	regclass	bigint
gin_cmp_prefix	"text, text, smallint, internal"	integer
gin_cmp_tslexeme	"text, text"	integer
gin_compare_jsonb	"text, text"	integer
gin_consistent_jsonb	"internal, smallint, jsonb, integer, internal, internal, internal, internal"	boolean
gin_consistent_jsonb_path	"internal, smallint, jsonb, integer, internal, internal, internal, internal"	boolean
gin_extract_jsonb	"jsonb, internal, internal"	internal
gin_extract_jsonb_path	"jsonb, internal, internal"	internal
gin_extract_jsonb_query	"jsonb, internal, smallint, internal, internal, internal, internal"	internal
gin_extract_jsonb_query_path	"jsonb, internal, smallint, internal, internal, internal, internal"	internal
gin_extract_tsquery	"tsquery, internal, smallint, internal, internal"	internal
gin_extract_tsquery	"tsquery, internal, smallint, internal, internal, internal, internal"	internal
gin_extract_tsquery	"tsvector, internal, smallint, internal, internal, internal, internal"	internal
gin_extract_tsvector	"tsvector, internal"	internal
gin_extract_tsvector	"tsvector, internal, internal"	internal
gin_triconsistent_jsonb	"internal, smallint, jsonb, integer, internal, internal, internal"	"""char"""
gin_triconsistent_jsonb_path	"internal, smallint, jsonb, integer, internal, internal, internal"	"""char"""
gin_tsquery_consistent	"internal, smallint, tsquery, integer, internal, internal"	boolean
gin_tsquery_consistent	"internal, smallint, tsquery, integer, internal, internal, internal, internal"	boolean
gin_tsquery_consistent	"internal, smallint, tsvector, integer, internal, internal, internal, internal"	boolean
gin_tsquery_triconsistent	"internal, smallint, tsvector, integer, internal, internal, internal"	"""char"""
ginarrayconsistent	"internal, smallint, anyarray, integer, internal, internal, internal, internal"	boolean
ginarrayextract	"anyarray, internal"	internal
ginarrayextract	"anyarray, internal, internal"	internal
ginarraytriconsistent	"internal, smallint, anyarray, integer, internal, internal, internal"	"""char"""
